順位,ASIN,商品名,商品URL,評価数,評価値,直近30日販売数（親）,直近30日販売数（子）,画像URL,ライバル候補
1,B0C22KB72C,ペンケース 韓国ins人気 ック生地ペンケース 大容量 収納 可愛い シンプルなデザイン 文房具 男の子 女の子 子ども 小学生 中学生 高校生 大学生 社会人用 (18*5*8cm),https://www.amazon.co.jp/%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E9%9F%93%E5%9B%BDins%E4%BA%BA%E6%B0%97-%E3%83%83%E3%82%AF%E7%94%9F%E5%9C%B0%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB%E3%81%AA%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3-%E7%A4%BE%E4%BC%9A%E4%BA%BA%E7%94%A8/dp/B0C22KB72C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-5,1,5.0,12,N/A,https://m.media-amazon.com/images/I/61SNsep6rLL._AC_UL320_.jpg,
2,B0DLKDLNQB,Nannlia ペンケース 透明 大容量 おしゃれ 筆箱 韓国 可愛い おしゃれ ふでばこ シンプル 中学生 高校生 大学生 男の子 女の子 (グレー),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%81%B5%E3%81%A7%E3%81%B0%E3%81%93-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B0DLKDLNQB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-6,18,4.0,108,N/A,https://m.media-amazon.com/images/I/61fW5KisQdL._AC_UL320_.jpg,ライバル候補
3,B09J23NBZ9,Nannlia ペンケース おしゃれ 韓国 大容量 筆箱 おしゃれ シンプル ふでばこ 中学生 高校生 大学生 男の子 女の子 (グレー),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E4%BA%BA%E6%B0%97%E3%81%AE%E7%AD%86%E7%AE%B1-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B09J23NBZ9/ref=sr_1_7?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-7,452,4.2,181,N/A,https://m.media-amazon.com/images/I/61hsV1oqzqL._AC_UL320_.jpg,
4,B0DQJGX6SW,筆箱 かわいい 韓国 高校生 女子 筆箱韓国 リボン ペンケース 可愛い おしゃれ ふでばこ 中学生 女の子 化粧ポーチ (ブラック),https://www.amazon.co.jp/%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84-%E7%AD%86%E7%AE%B1%E9%9F%93%E5%9B%BD-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E5%8C%96%E7%B2%A7%E3%83%9D%E3%83%BC%E3%83%81/dp/B0DQJGX6SW/ref=sr_1_8?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-8,11,4.4,20,N/A,https://m.media-amazon.com/images/I/71e7TLgxx8L._AC_UL320_.jpg,
5,B0C53J355Y,サムコス ペンケース 筆箱 ネコ 可愛い おしゃれ ック生地ペンケース 大容量 シンプル 文房具 韓国ins人気 筆入れ 子供 小学生 中学生 高校生 大学生 男の子 女の子 (ベージュ),https://www.amazon.co.jp/%E3%82%B5%E3%83%A0%E3%82%B3%E3%82%B9-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%83%83%E3%82%AF%E7%94%9F%E5%9C%B0%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E9%9F%93%E5%9B%BDins%E4%BA%BA%E6%B0%97/dp/B0C53J355Y/ref=sr_1_9?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-9,27,4.2,73,N/A,https://m.media-amazon.com/images/I/51Ngw227xtL._AC_UL320_.jpg,
6,B0DM8858VC,DUXING ペンケース 筆箱 キルティング ペンケース 大容量 リボン刺繍 学生 大人 可愛い オシャレ (ホワイトブルー),https://www.amazon.co.jp/DUXING-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%AD%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0-%E3%83%AA%E3%83%9C%E3%83%B3%E5%88%BA%E7%B9%8D-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%96%E3%83%AB%E3%83%BC/dp/B0DM8858VC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-10,N/A,N/A,< 5,N/A,https://m.media-amazon.com/images/I/31RjPKHo1OL._AC_UL320_.jpg,
7,B0C5CYDJJL,ペンケース 筆箱 韓国風 スマイル チェック柄 ペンポーチ 韓国文房具 韓国文具,https://www.amazon.co.jp/%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%AB-%E3%83%81%E3%82%A7%E3%83%83%E3%82%AF%E6%9F%84-%E3%83%9A%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%81-%E9%9F%93%E5%9B%BD%E6%96%87%E6%88%BF%E5%85%B7/dp/B0C5CYDJJL/ref=sr_1_15?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-15,12,3.9,9,N/A,https://m.media-amazon.com/images/I/61-52jAEJhL._AC_UL320_.jpg,
8,B0D1K5BNSW,ペンケース 韓国 筆箱 ペンポーチ シンプル おしゃれ 化粧ポーチ 大容量 多機能 収納袋 軽量 筆入れ 高校生 中学生 女の子 男の子 入園 入学 便利 筆記用具 文房具 (ホワイト) [並行輸入品],https://www.amazon.co.jp/%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%9A%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%81-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB-%E5%8C%96%E7%B2%A7%E3%83%9D%E3%83%BC%E3%83%81-%E4%B8%A6%E8%A1%8C%E8%BC%B8%E5%85%A5%E5%93%81/dp/B0D1K5BNSW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-16,8,3.7,64,N/A,https://m.media-amazon.com/images/I/61Jlc5sGb9L._AC_UL320_.jpg,
9,B0D2H4K1VR,Nannlia ペンケース 透明 大容量 6層ストレージ おしゃれ 筆箱 韓国 おしゃれ シンプル ふでばこ 中学生 高校生 大学生 男の子 女の子 (ブラック),https://www.amazon.co.jp/Nannlia-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-6%E5%B1%A4%E3%82%B9%E3%83%88%E3%83%AC%E3%83%BC%E3%82%B8-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%82%B7%E3%83%B3%E3%83%97%E3%83%AB/dp/B0D2H4K1VR/ref=sr_1_17?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-17,23,4.2,106,50+,https://m.media-amazon.com/images/I/51ZKLXgDgLL._AC_UL320_.jpg,
10,B0C3RN6TSV,ronsila ペンケース 韓国 筆箱 韓国 かわいい おしゃれ 大容量 高校生 女子 中学生 ボアワッフルペンケース（ピンク）,https://www.amazon.co.jp/ronsila-%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84-%E3%81%8A%E3%81%97%E3%82%83%E3%82%8C-%E3%83%9C%E3%82%A2%E3%83%AF%E3%83%83%E3%83%95%E3%83%AB%E3%83%9A%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9%EF%BC%88%E3%83%94%E3%83%B3%E3%82%AF%EF%BC%89/dp/B0C3RN6TSV/ref=sr_1_18?dib=eyJ2IjoiMSJ9.mGo3AsryXfZStSW6QmXgLQvngrVd85XUhomz0Z18gQX_7x56bm2M5h1eXdlhZxQhRGaDKotXcJNl-ZYRhouIqu7KPr3QEGyKqcCsZLcoi6P13_qg6vd0RQqI7xFnS-VqMXNuObn0ThQkJCK5Gp0YkJr0EBVn_uifAdGrG3PvMTFi97FIvTkJ3m-c2PQgXVPxNTdMajtLDrV2eGH4b5DrOrtvHEX6P_jvoN89xYFFzrMHvejAnubaeU48YhhM5zcLUNnQfEdAiTRWq4N5xR4Teon2nxbIFIvokQgMP-qcK8s.O4p-z7lJnejUkW3sEEamP6AtFbThM1GfOIKIV-vsuyY&dib_tag=se&keywords=%E7%AD%86%E7%AE%B1+%E9%9F%93%E5%9B%BD&qid=1754097179&sr=8-18,6,3.5,43,N/A,https://m.media-amazon.com/images/I/71SeKPnxXNL._AC_UL320_.jpg,
